gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,course_diff
male,Bachelor of Arts,7.54,80.6,yes,8.6,good,mixed,medium,moderate,90.6,1
male,Diploma,1.24,90.3,yes,7.7,average,mixed,medium,easy,67.1,0
male,Bachelor of Science,3.9,52.7,yes,7.1,average,mixed,medium,moderate,68.4,5
male,Bachelor of Business Administration,4.01,92.3,no,6.0,good,coaching,medium,hard,83.4,3
female,Diploma,3.04,65.2,no,4.6,average,coaching,low,moderate,53.2,0
male,Bachelor of Computer Applications,4.32,58.5,yes,9.2,average,coaching,low,easy,71.4,4
male,Diploma,7.4,99.0,yes,5.2,good,self-study,low,moderate,86.2,0
male,Diploma,3.51,81.3,no,7.8,poor,group study,medium,hard,55.4,0
male,Bachelor of Technology,1.1,57.4,no,5.8,poor,group study,medium,easy,19.8,6
male,Bachelor of Science,5.32,71.8,yes,5.4,average,group study,medium,moderate,75.7,5
male,Bachelor of Science,0.25,78.6,yes,6.7,average,online videos,low,easy,31.9,5
other,Bachelor of Arts,7.52,82.7,no,8.4,average,group study,low,easy,90.7,1
other,Bachelor of Commerce,7.52,52.6,yes,5.4,average,online videos,high,hard,81.7,2
male,Bachelor of Technology,0.74,77.0,yes,4.6,good,group study,low,moderate,27.6,6
male,Bachelor of Arts,4.41,90.8,yes,6.9,average,group study,low,hard,70.6,1
female,Bachelor of Technology,6.38,88.2,yes,7.3,good,self-study,medium,easy,92.1,6
other,Bachelor of Commerce,3.72,57.7,yes,7.9,average,coaching,medium,easy,64.6,2
other,Bachelor of Commerce,3.83,98.2,yes,6.7,good,self-study,high,easy,80.7,2
other,Diploma,7.76,40.8,yes,6.3,poor,online videos,medium,hard,69.8,0
male,Bachelor of Business Administration,1.84,86.7,no,4.9,poor,coaching,high,moderate,74.9,3
female,Bachelor of Business Administration,4.21,59.0,yes,5.8,poor,self-study,medium,moderate,50.5,3
female,Bachelor of Computer Applications,0.92,96.5,yes,5.5,good,online videos,high,easy,67.6,4
female,Bachelor of Science,2.42,91.7,yes,4.8,good,mixed,high,moderate,53.2,5
other,Bachelor of Science,6.81,92.9,yes,9.7,average,self-study,medium,easy,85.2,5
male,Bachelor of Computer Applications,5.73,55.1,yes,5.1,good,group study,low,easy,70.2,4
female,Bachelor of Computer Applications,4.9,87.8,yes,7.4,poor,group study,medium,easy,65.9,4
male,Bachelor of Technology,0.91,60.0,yes,6.4,average,group study,high,moderate,47.4,6
male,Bachelor of Science,6.81,66.8,yes,7.3,average,group study,medium,hard,82.8,5
male,Bachelor of Science,2.38,94.3,yes,7.5,poor,mixed,high,easy,67.7,5
other,Bachelor of Technology,4.28,83.2,no,7.1,poor,coaching,high,moderate,65.8,6
female,Bachelor of Business Administration,1.87,78.4,yes,6.0,average,group study,medium,moderate,54.3,3
other,Bachelor of Technology,4.17,47.7,yes,6.0,good,online videos,medium,moderate,49.9,6
other,Bachelor of Computer Applications,4.5,72.3,yes,5.0,good,mixed,low,moderate,62.2,4
female,Bachelor of Business Administration,2.72,47.4,yes,6.5,good,online videos,medium,hard,66.1,3
other,Bachelor of Computer Applications,4.05,44.5,yes,6.2,good,online videos,low,easy,60.2,4
male,Bachelor of Arts,3.25,96.8,yes,9.9,good,coaching,low,easy,80.1,1
other,Diploma,5.58,75.5,yes,4.6,average,coaching,medium,moderate,76.3,0
male,Bachelor of Science,4.35,40.6,yes,7.5,average,group study,medium,moderate,62.0,5
female,Bachelor of Arts,7.02,68.1,no,9.9,good,self-study,low,moderate,93.8,1
other,Bachelor of Technology,0.4,57.2,yes,9.6,average,mixed,low,easy,42.3,6
other,Bachelor of Computer Applications,0.21,49.2,no,8.2,average,coaching,high,moderate,56.4,4
male,Bachelor of Arts,1.51,89.1,no,6.4,good,group study,low,moderate,52.6,1
other,Bachelor of Science,0.95,49.2,yes,8.4,average,group study,medium,hard,43.2,5
male,Bachelor of Computer Applications,4.21,50.0,yes,9.6,poor,coaching,high,hard,60.5,4
other,Diploma,1.6,54.0,yes,7.3,poor,coaching,low,hard,41.0,0
female,Bachelor of Technology,0.13,82.7,yes,6.1,poor,online videos,high,hard,22.1,6
male,Bachelor of Computer Applications,2.26,51.4,yes,4.1,average,online videos,low,moderate,28.3,4
other,Bachelor of Computer Applications,4.07,59.3,yes,7.0,good,online videos,low,moderate,52.4,4
other,Bachelor of Commerce,5.71,94.1,yes,4.6,good,group study,high,moderate,84.3,2
male,Bachelor of Business Administration,3.51,73.9,yes,5.9,poor,coaching,high,moderate,60.8,3
male,Bachelor of Computer Applications,7.7,50.4,yes,7.7,poor,self-study,high,easy,55.2,4
male,Bachelor of Arts,1.6,91.6,yes,5.7,average,group study,low,hard,59.7,1
female,Bachelor of Business Administration,4.11,70.7,yes,5.3,good,group study,high,easy,69.1,3
female,Bachelor of Technology,2.03,90.1,no,7.5,poor,mixed,low,moderate,57.0,6
other,Diploma,6.45,44.7,yes,4.4,poor,group study,high,easy,67.9,0
other,Diploma,1.5,49.7,yes,9.6,average,group study,high,easy,38.3,0
male,Bachelor of Science,7.69,45.5,yes,9.9,poor,group study,low,moderate,67.2,5
female,Bachelor of Arts,5.73,68.9,no,9.9,average,online videos,low,easy,72.9,1
other,Bachelor of Science,4.45,63.2,yes,4.1,good,coaching,medium,hard,74.2,5
other,Bachelor of Commerce,4.26,65.0,yes,4.1,good,coaching,high,moderate,84.4,2
male,Bachelor of Science,2.9,62.0,yes,4.6,good,mixed,low,moderate,64.7,5
male,Diploma,0.17,65.4,yes,9.5,average,self-study,low,moderate,49.1,0
male,Bachelor of Business Administration,7.32,62.9,no,9.2,good,group study,medium,moderate,85.5,3
female,Bachelor of Computer Applications,6.36,49.6,yes,4.1,average,group study,high,easy,50.7,4
female,Bachelor of Computer Applications,1.08,74.1,yes,4.4,good,group study,high,hard,59.1,4
